Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 21, 2020"
CITY OF SANTA MARIA,10,3827,3711,56,60,"September 21, 2020"
COMMUNITY OF ORCUTT,3,310,299,8,3,"September 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,395,381,9,5,"September 21, 2020"
Out of County,,,0,0,0,"September 21, 2020"
Pending,3,375,364,11,,"September 21, 2020"
Total**,29,8930,8669,151,110,"September 21, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,188,179,2,7,"September 18, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1189,1156,20,13,"September 18, 2020"
CITY OF GOLETA,1,246,234,8,4,"September 18, 2020"
COMMUNITY OF ISLA VISTA,2,209,187,21,1,"September 18, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,192,183,8,1,"September 18, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,142,130,7,5,"September 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,793,757,28,8,"September 18, 2020"
FEDERAL PRISON IN LOMPOC,2,1026,1021,2,3,"September 18, 2020"
CITY OF SANTA MARIA,17,3795,3682,52,60,"September 18, 2020"
COMMUNITY OF ORCUTT,0,305,294,8,3,"September 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,388,371,12,5,"September 18, 2020"
Out of County,,,0,0,0,"September 18, 2020"
Pending,3,373,362,11,,"September 18, 2020"
Total**,43,8846,8556,180,110,"September 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,1183,1147,23,13,"September 17, 2020"
CITY OF GOLETA,0,245,232,9,4,"September 17, 2020"
COMMUNITY OF ISLA VISTA,7,207,182,24,1,"September 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,192,181,10,1,"September 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,142,129,8,5,"September 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,785,755,22,8,"September 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 17, 2020"
CITY OF SANTA MARIA,4,3778,3673,46,59,"September 17, 2020"
COMMUNITY OF ORCUTT,0,305,293,9,3,"September 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,385,371,9,5,"September 17, 2020"
Out of County,,,0,0,0,"September 17, 2020"
Pending,0,370,359,15,,"September 17, 2020"
Total**,19,8803,8522,172,109,"September 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1179,1146,20,13,"September 16, 2020"
CITY OF GOLETA,3,245,232,9,4,"September 16, 2020"
COMMUNITY OF ISLA VISTA,7,200,179,20,1,"September 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,192,180,11,1,"September 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,142,129,8,5,"September 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,781,755,18,8,"September 16, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 16, 2020"
CITY OF SANTA MARIA,10,3774,3662,53,59,"September 16, 2020"
COMMUNITY OF ORCUTT,7,305,290,12,3,"September 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,385,368,12,5,"September 16, 2020"
Out of County,,,0,0,0,"September 16, 2020"
Pending,3,371,356,15,,"September 16, 2020"
Total**,44,8785,8497,179,109,"September 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 15, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1177,1146,19,12,"September 15, 2020"
CITY OF GOLETA,0,242,231,7,4,"September 15, 2020"
COMMUNITY OF ISLA VISTA,6,193,182,10,1,"September 15, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,189,180,8,1,"September 15, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,141,130,7,4,"September 15, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,0,775,749,18,8,"September 15, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 15, 2020"
CITY OF SANTA MARIA,12,3764,3661,44,59,"September 15, 2020"
COMMUNITY OF ORCUTT,3,298,287,8,3,"September 15, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,383,367,11,5,"September 15, 2020"
Out of County,,,0,0,0,"September 15, 2020"
Pending,1,368,352,16,,"September 15, 2020"
Total**,26,8741,8485,149,107,"September 15, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,186,179,1,7,"September 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1167,1141,22,12,"September 14, 2020"
CITY OF GOLETA,3,240,229,9,4,"September 14, 2020"
COMMUNITY OF ISLA VISTA,3,186,171,15,1,"September 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,187,179,8,1,"September 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,138,126,10,4,"September 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,770,747,20,8,"September 14, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 14, 2020"
CITY OF SANTA MARIA,0,3748,3654,40,58,"September 14, 2020"
COMMUNITY OF ORCUTT,2,293,286,6,3,"September 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,380,362,15,5,"September 14, 2020"
Out of County,,,0,0,0,"September 14, 2020"
Pending,4,399,355,16,,"September 14, 2020"
Total**,23,8718,8450,162,106,"September 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,185,177,1,7,"September 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1160,1122,26,12,"September 11, 2020"
CITY OF GOLETA,2,233,219,10,4,"September 11, 2020"
COMMUNITY OF ISLA VISTA,6,180,163,16,1,"September 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,183,175,7,1,"September 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,131,121,8,4,"September 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,753,727,18,8,"September 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1020,1,3,"September 11, 2020"
CITY OF SANTA MARIA,5,3715,3607,51,57,"September 11, 2020"
COMMUNITY OF ORCUTT,0,287,275,9,3,"September 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,368,358,5,5,"September 11, 2020"
Out of County,,,0,0,0,"September 11, 2020"
Pending,2,387,356,31,,"September 11, 2020"
Total**,30,8608,8320,183,105,"September 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,185,174,4,7,"September 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,1148,1112,24,12,"September 10, 2020"
CITY OF GOLETA,2,231,219,8,4,"September 10, 2020"
COMMUNITY OF ISLA VISTA,6,178,163,14,1,"September 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,182,174,7,1,"September 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,131,118,9,4,"September 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,750,718,24,8,"September 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1020,1,3,"September 10, 2020"
CITY OF SANTA MARIA,5,3708,3590,63,55,"September 10, 2020"
COMMUNITY OF ORCUTT,2,287,274,10,3,"September 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,368,357,6,5,"September 10, 2020"
Out of County,,,0,0,0,"September 10, 2020"
Pending,3,387,355,32,,"September 10, 2020"
Total**,30,8579,8274,202,103,"September 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,185,172,6,7,"September 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,1144,1106,26,12,"September 9, 2020"
CITY OF GOLETA,2,229,217,8,4,"September 9, 2020"
COMMUNITY OF ISLA VISTA,4,172,158,13,1,"September 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,181,174,6,1,"September 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,128,119,7,2,"September 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,748,704,36,8,"September 9, 2020"
FEDERAL PRISON IN LOMPOC,1,1024,1020,1,3,"September 9, 2020"
CITY OF SANTA MARIA,17,3702,3572,77,53,"September 9, 2020"
COMMUNITY OF ORCUTT,2,285,272,10,3,"September 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,367,356,6,5,"September 9, 2020"
Out of County,,,0,0,0,"September 9, 2020"
Pending,8,385,350,35,,"September 9, 2020"
Total**,51,8550,8220,231,99,"September 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,185,172,6,7,"September 8, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1139,1100,27,12,"September 8, 2020"
CITY OF GOLETA,0,227,215,8,4,"September 8, 2020"
COMMUNITY OF ISLA VISTA,0,168,153,14,1,"September 8, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,178,174,3,1,"September 8, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,126,119,5,2,"September 8, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,0,743,698,37,8,"September 8, 2020"
FEDERAL PRISON IN LOMPOC,0,1023,1020,0,3,"September 8, 2020"
CITY OF SANTA MARIA,0,3685,3564,70,51,"September 8, 2020"
COMMUNITY OF ORCUTT,0,283,271,9,3,"September 8, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,365,354,6,5,"September 8, 2020"
Out of County,,,0,0,0,"September 8, 2020"
Pending,2,377,346,31,,"September 8, 2020"
Total**,3,8499,8186,216,97,"September 8, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,181,171,3,7,"September 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1123,1081,30,12,"September 4, 2020"
CITY OF GOLETA,0,216,211,1,4,"September 4, 2020"
COMMUNITY OF ISLA VISTA,1,161,148,12,1,"September 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,176,157,18,1,"September 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,122,115,5,2,"September 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,23,723,677,38,8,"September 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1023,1018,2,3,"September 4, 2020"
CITY OF SANTA MARIA,26,3651,3522,78,51,"September 4, 2020"
COMMUNITY OF ORCUTT,0,274,267,4,3,"September 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,360,346,9,5,"September 4, 2020"
Out of County,,,0,0,0,"September 4, 2020"
Pending,5,351,327,24,,"September 4, 2020"
Total**,64,8361,8040,224,97,"September 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,179,171,1,7,"September 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1122,1078,32,12,"September 3, 2020"
CITY OF GOLETA,0,217,211,2,4,"September 3, 2020"
COMMUNITY OF ISLA VISTA,7,160,147,12,1,"September 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,174,155,18,1,"September 3, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,121,113,6,2,"September 3, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,25,700,653,39,8,"September 3, 2020"
FEDERAL PRISON IN LOMPOC,1,1023,1017,3,3,"September 3, 2020"
CITY OF SANTA MARIA,21,3625,3506,68,51,"September 3, 2020"
COMMUNITY OF ORCUTT,2,274,265,6,3,"September 3, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,359,344,10,5,"September 3, 2020"
Out of County,,,0,0,0,"September 3, 2020"
Pending,5,346,324,22,,"September 3, 2020"
Total**,71,8300,7984,219,97,"September 3, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,179,170,2,7,"September 2, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,16,1114,1072,30,12,"September 2, 2020"
CITY OF GOLETA,1,217,209,4,4,"September 2, 2020"
COMMUNITY OF ISLA VISTA,5,153,146,6,1,"September 2, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,173,150,22,1,"September 2, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,121,110,9,2,"September 2, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,14,675,632,35,8,"September 2, 2020"
FEDERAL PRISON IN LOMPOC,0,1022,1016,3,3,"September 2, 2020"
CITY OF SANTA MARIA,14,3604,3474,79,51,"September 2, 2020"
COMMUNITY OF ORCUTT,2,272,261,8,3,"September 2, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,358,337,16,5,"September 2, 2020"
Out of County,,,0,0,0,"September 2, 2020"
Pending,8,341,320,21,,"September 2, 2020"
Total**,66,8229,7897,235,97,"September 2, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,178,168,4,6,"September 1, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1093,1061,21,11,"September 1, 2020"
CITY OF GOLETA,0,212,205,3,4,"September 1, 2020"
COMMUNITY OF ISLA VISTA,0,146,141,4,1,"September 1, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,171,148,22,1,"September 1, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,119,109,8,2,"September 1, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,654,623,23,8,"September 1, 2020"
FEDERAL PRISON IN LOMPOC,3,1022,1016,3,3,"September 1, 2020"
CITY OF SANTA MARIA,11,3574,3442,81,51,"September 1, 2020"
COMMUNITY OF ORCUTT,1,269,259,7,3,"September 1, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,351,330,16,5,"September 1, 2020"
Out of County,,,0,0,0,"September 1, 2020"
Pending,2,375,358,17,,"September 1, 2020"
Total**,23,8164,7860,209,95,"September 1, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,178,168,4,6,"August 31, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1092,1054,27,11,"August 31, 2020"
CITY OF GOLETA,1,212,204,4,4,"August 31, 2020"
COMMUNITY OF ISLA VISTA,3,146,139,6,1,"August 31, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,171,145,25,1,"August 31, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,118,108,8,2,"August 31, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,653,617,28,8,"August 31, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 31, 2020"
CITY OF SANTA MARIA,18,3564,3429,85,50,"August 31, 2020"
COMMUNITY OF ORCUTT,2,268,257,8,3,"August 31, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,349,331,114,4,"August 31, 2020"
Out of County,,,0,0,0,"August 31, 2020"
Pending,1,373,354,19,,"August 31, 2020"
Total**,46,8143,7822,228,93,"August 31, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,176,166,4,6,"August 28, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,1077,1025,40,12,"August 28, 2020"
CITY OF GOLETA,2,207,198,6,3,"August 28, 2020"
COMMUNITY OF ISLA VISTA,1,142,137,4,1,"August 28, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,155,141,13,1,"August 28, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,113,100,11,2,"August 28, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,637,605,24,8,"August 28, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 28, 2020"
CITY OF SANTA MARIA,32,3536,3385,103,48,"August 28, 2020"
COMMUNITY OF ORCUTT,5,260,249,7,4,"August 28, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,332,317,11,4,"August 28, 2020"
Out of County,,,0,0,0,"August 28, 2020"
Pending,1,360,337,23,,"August 28, 2020"
Total**,67,8014,7676,246,92,"August 28, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,175,163,6,6,"August 27, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1072,1023,37,12,"August 27, 2020"
CITY OF GOLETA,1,205,197,5,3,"August 27, 2020"
COMMUNITY OF ISLA VISTA,0,141,136,4,1,"August 27, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,151,141,9,1,"August 27, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,110,94,14,2,"August 27, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,629,602,19,8,"August 27, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 27, 2020"
CITY OF SANTA MARIA,16,3508,3367,94,47,"August 27, 2020"
COMMUNITY OF ORCUTT,1,255,246,5,4,"August 27, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,327,315,8,4,"August 27, 2020"
Out of County,,,0,0,0,"August 27, 2020"
Pending,4,359,332,27,,"August 27, 2020"
Total**,35,7951,7632,228,91,"August 27, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,173,162,5,6,"August 26, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1069,1015,42,12,"August 26, 2020"
CITY OF GOLETA,1,204,195,6,3,"August 26, 2020"
COMMUNITY OF ISLA VISTA,1,141,132,8,1,"August 26, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,149,140,8,1,"August 26, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,108,92,14,2,"August 26, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,625,595,23,7,"August 26, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 26, 2020"
CITY OF SANTA MARIA,17,3492,3353,92,47,"August 26, 2020"
COMMUNITY OF ORCUTT,0,254,244,6,4,"August 26, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,327,315,8,4,"August 26, 2020"
Out of County,,,0,0,0,"August 26, 2020"
Pending,4,355,326,29,,"August 26, 2020"
Total**,47,7916,7585,241,90,"August 26, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,173,162,5,6,"August 25, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1056,1008,37,11,"August 25, 2020"
CITY OF GOLETA,1,203,192,8,3,"August 25, 2020"
COMMUNITY OF ISLA VISTA,0,140,131,8,1,"August 25, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,146,140,5,1,"August 25, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,105,92,11,2,"August 25, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,624,593,24,7,"August 25, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 25, 2020"
CITY OF SANTA MARIA,34,3475,3335,93,47,"August 25, 2020"
COMMUNITY OF ORCUTT,2,254,243,7,4,"August 25, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,323,313,6,4,"August 25, 2020"
Out of County,,,0,0,0,"August 25, 2020"
Pending,4,351,326,25,,"August 25, 2020"
Total**,70,7869,7551,229,89,"August 25, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,173,162,5,6,"August 25, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1056,1008,37,11,"August 25, 2020"
CITY OF GOLETA,1,203,192,8,3,"August 25, 2020"
COMMUNITY OF ISLA VISTA,0,140,131,8,1,"August 25, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,146,140,5,1,"August 25, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,105,92,11,2,"August 25, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,624,593,24,7,"August 25, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 25, 2020"
CITY OF SANTA MARIA,34,3475,3335,93,47,"August 25, 2020"
COMMUNITY OF ORCUTT,2,254,243,7,4,"August 25, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,323,313,6,4,"August 25, 2020"
Out of County,,,0,0,0,"August 25, 2020"
Pending,4,351,326,25,,"August 25, 2020"
Total**,70,7869,7551,229,89,"August 25, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,172,162,4,6,"August 24, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1049,996,42,11,"August 24, 2020"
CITY OF GOLETA,2,202,189,10,3,"August 24, 2020"
COMMUNITY OF ISLA VISTA,1,141,130,10,1,"August 24, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,145,136,8,1,"August 24, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,103,88,13,2,"August 24, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,607,577,23,7,"August 24, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 24, 2020"
CITY OF SANTA MARIA,27,3441,3307,87,47,"August 24, 2020"
COMMUNITY OF ORCUTT,1,252,242,6,4,"August 24, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,322,312,7,3,"August 24, 2020"
Out of County,,,0,0,0,"August 24, 2020"
Pending,6,347,324,23,,"August 24, 2020"
Total**,61,7800,7479,233,88,"August 24, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,169,162,1,6,"August 21, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1015,972,33,10,"August 21, 2020"
CITY OF GOLETA,7,199,183,13,3,"August 21, 2020"
COMMUNITY OF ISLA VISTA,4,135,124,10,1,"August 21, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,139,127,11,1,"August 21, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,97,85,10,2,"August 21, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,590,557,26,7,"August 21, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 21, 2020"
CITY OF SANTA MARIA,25,3387,3257,83,47,"August 21, 2020"
COMMUNITY OF ORCUTT,4,247,232,11,4,"August 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,322,299,20,3,"August 21, 2020"
Out of County,,,0,0,0,"August 21, 2020"
Pending,10,334,298,36,,"August 21, 2020"
Total**,81,7653,7312,254,87,"August 21, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,169,161,2,6,"August 20, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1003,962,31,10,"August 20, 2020"
CITY OF GOLETA,4,193,182,8,3,"August 20, 2020"
